Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family;Class;Cell_color;Cell_rank
export_E10 ST-HSC SC3_CV1.csv.1;127398,3203;62589,84766;15566,85156;54,699947;101,878181;100,709328;6058,194824;138,269714;2139,459473;114,394379;318,2342220000001;5,638854;110,940117;E10;SC3;CV;1;ST-HSC;24h;P+ILs;TT23;E10_TT23;E10CV24hST-HSCTT23;MEP;Deepskyblue;6
export_E10 ST-HSC SC3_CV1.csv.2;130777,9063;58319,58984;16561,99805;97,119499;84,282387;140,171494;6545,216309;119,858559;1937,140503;182,67482;303,744476;5,681629;168,22753899999995;E10;SC3;CV;1;ST-HSC;24h;P+ILs;TT23;E10_TT23;E10CV24hST-HSCTT23;MEP;Deepskyblue;6
export_E11 HSC SC3_CF1.csv.1;118722,5547;56667,26172;15929,59863;697,054199;139,749588;63,879608;33,874195;144,643341;673,081238;85,388542;335,4731450000001;4,053188;106,968185;E11;SC3;CF;1;SLAM-HSC;24h;P+ILs;TT23;E11_TT23;E11CF24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_E11 HSC SC3_CF1.csv.2;129032,1875;83141,85938;17255,26563;499,637177;104,083908;168,018204;40,74332;100,890785;734,3742679999998;71,824501;254,38385;4,1344379999999985;148,22316;E11;SC3;CF;1;SLAM-HSC;24h;P+ILs;TT23;E11_TT23;E11CF24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_E11 HSC SC3_CV1.csv;106782,125;69140,89063;16184,66895;2324,2346190000007;73,456238;1494,560913;10135,84766;34,81089;852,3952029999998;45,119068;178,53561399999995;5,808856;2,57626;E11;SC3;CV;1;SLAM-HSC;24h;P+ILs;TT23;E11_TT23;E11CV24hSLAM-HSCTT23;GMP;aqua;5
export_E2 MPP SC2_VC0.csv;97711,35938;81128,16406;11260,32715;89,533485;1515,850586;292,837067;29894,945310000006;61,520561;812,3737179999998;392,537262;358,610107;6,029605;6,451835;E2;SC2;VC;0;MPP;24h;P;TT23;E2_TT23;E2VC24hMPPTT23;MPP;Limegreen;3
export_E3 ST-HSC SC2_CF0.csv;148618,6406;85160,32031;32361,066410000003;119,934952;126,848434;105,836754;50,194973;144,74316399999995;1258,8984380000004;192,286118;364,249023;4,391616;163,014206;E3;SC2;CF;0;ST-HSC;24h;P;TT23;E3_TT23;E3CF24hST-HSCTT23;MEP;Deepskyblue;6
export_E3 ST-HSC SC2_CV1.csv;106761,3125;50379,21094;16754,21094;576,612;137,725189;198,442932;7567,164062999998;63,515579;845,8619380000001;167,403549;732,647583;5,729727;220,032852;E3;SC2;CV;1;ST-HSC;24h;P;TT23;E3_TT23;E3CV24hST-HSCTT23;SLAM+ MEP;Royalblue;7
export_E3 ST-HSC SC2_Vi0.csv;121348,5;72359,80469;1,396123;145,265427;207,892242;21,247816;22573,05859;106,595528;165,38111899999996;165,01998899999995;352,6492;3,18093;108,231567;E3;SC2;Vi;0;ST-HSC;24h;P;TT23;E3_TT23;E3Vi24hST-HSCTT23;MEP;Deepskyblue;6
export_E4 ST-HSC SC2_VC1.csv;101322,1875;49134,84766;7178,882812999998;71,088234;442,360962;138,646866;14872,18359;99,223602;342,356598;245,622421;347,3417970000001;5,676959;44,444431;E4;SC2;VC;1;ST-HSC;24h;P;TT23;E4_TT23;E4VC24hST-HSCTT23;ST-HSC;#deff19;2
export_E5 HSC SC2_CV1.csv.1;118171,0547;51931,54297;12218,65137;360,02829;59,812885;190,808624;5001,226074;2,259605;880,003357;84,992134;141,302597;5,505604;24,122324;E5;SC2;CV;1;SLAM-HSC;24h;P;TT23;E5_TT23;E5CV24hSLAM-HSCTT23;CD16/32- ckit-;Violet;9
export_E5 HSC SC2_CV1.csv.2;105323,875;52849,15234;13910,24121;291,595978;95,057274;136,298981;6189,394531;44,867096;874,969177;67,858009;311,039368;5,61088;115,695084;E5;SC2;CV;1;SLAM-HSC;24h;P;TT23;E5_TT23;E5CV24hSLAM-HSCTT23;MEP;Deepskyblue;6
export_E5 HSC SC2_VC0.csv;95243,85156;49556,07031;15961,16406;2254,413574;156,237061;110,677254;37765,52734;29,768087;7,490461;1081,907593;218,084656;6,208511;191,151581;E5;SC2;VC;0;SLAM-HSC;24h;P;TT23;E5_TT23;E5VC24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_E5 HSC SC2_Vi0.csv;160189,7188;128821,7031;1,838979;105,042313;141,526657;166,066971;22582,50586;133,316498;1648,342651;94,270569;322,885468;3,265666;113,579483;E5;SC2;Vi;0;SLAM-HSC;24h;P;TT23;E5_TT23;E5Vi24hSLAM-HSCTT23;MEP;Deepskyblue;6
export_E6 HSC SC2_CF1.csv;117499,4141;66629,91406;14966,15137;204,428299;97,77626;39,386009;31,196558000000003;97,590172;251,440643;311,087158;368,278015;4,008742;1,352744;E6;SC2;CF;1;SLAM-HSC;24h;P;TT23;E6_TT23;E6CF24hSLAM-HSCTT23;ST-HSC;#deff19;2
export_E7 MPP SC3_CV0.csv;98499,17188;44471,06641;22452,10547;188,592056;1087,776611;323,268158;8786,769531;5,100717;404,706909;194,343307;243,412506;5,865512;104,39122;E7;SC3;CV;0;MPP;24h;P+ILs;TT23;E7_TT23;E7CV24hMPPTT23;MEP;Deepskyblue;6
export_E7 MPP SC3_Vi0.csv;127731,4297;79955,27344;8,297832000000001;46,220425;1665,257446;422,94705199999987;28330,79883;-25,296059;1917,112183;1192,382568;252,289459;3,798028;139,490036;E7;SC3;Vi;0;MPP;24h;P+ILs;TT23;E7_TT23;E7Vi24hMPPTT23;MPP;Limegreen;3
export_E9 ST-HSC SC3_CF0.csv;121243,2578;68278,03906;28425,49414;631,564819;143,485443;133,14840700000002;41,832798;39,006058;97,893448;1263,328491;146,220215;4,295833;183,953796;E9;SC3;CF;0;ST-HSC;24h;P+ILs;TT23;E9_TT23;E9CF24hST-HSCTT23;SLAM-HSC;Red;0
export_E9 ST-HSC SC3_VC0.csv;148912,1563;106714,7734;9644,094727;466,07959000000005;268,654785;49,5704;29902,81055;7,5858729999999985;1124,627197;1491,672852;231,627731;5,982105000000002;143,343491;E9;SC3;VC;0;ST-HSC;24h;P+ILs;TT23;E9_TT23;E9VC24hST-HSCTT23;SLAM-HSC;Red;0
export_F10 ST-HSC SC3_CF0.csv;157830,8594;87786,26563;22020,34375;166,819839;107,915703;559,555054;75,266716;110,29792;1416,828613;198,500946;261,459381;4,397799;53,51199;F10;SC3;CF;0;ST-HSC;24h;P+ILs;TT23;F10_TT23;F10CF24hST-HSCTT23;GMP;aqua;5
export_F10 ST-HSC SC3_CV0.csv;121615,2266;87124,03906;24123,01953;301,576538;517,840454;326,858734;10390,03223;-66,921272;331,027679;1583,987427;136,547394;5,939024;32,438435;F10;SC3;CV;0;ST-HSC;24h;P+ILs;TT23;F10_TT23;F10CV24hST-HSCTT23;SLAM+ Flt3+;seagreen;4
export_F10 ST-HSC SC3_Vi1.csv.1;159272,0781;162000,4844;13,674878;902,657043;813,4161379999998;757,3479;20382,58594;1236,4279789999996;490,3793950000001;-38,64854;156,073135;3,850326;75,60592700000002;F10;SC3;Vi;1;ST-HSC;24h;P+ILs;TT23;F10_TT23;F10Vi24hST-HSCTT23;GMP;aqua;5
export_F10 ST-HSC SC3_Vi1.csv.2;115683,8125;74887,29688;0,814192;509,631012;289,655731;141,748642;22894,90234;-169,221786;20,918049;3176,94458;255,772141;3,019675;103,020164;F10;SC3;Vi;1;ST-HSC;24h;P+ILs;TT23;F10_TT23;F10Vi24hST-HSCTT23;SLAM-HSC;Red;0
export_F11 HSC SC3_CV0.csv;109730,7109;71952,89063;27352,80859;387,436493;212,479309;-24,860476;12532,23828;185,688217;87,198029;1650,005859;205,17128;6,035178;203,941879;F11;SC3;CV;0;SLAM-HSC;24h;P+ILs;TT23;F11_TT23;F11CV24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_F11 HSC SC3_VC0.csv;126199,8828;76831,25781;9568,158203;2162,589355;127,224869;116,437469;25677,46094;41,342205;99,534653;639,705994;175,21821599999996;5,9328949999999985;141,968658;F11;SC3;VC;0;SLAM-HSC;24h;P+ILs;TT23;F11_TT23;F11VC24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_F11 HSC SC3_Vi0.csv;114067,6094;69645,21094;1,131754;840,740295;132,176392;35,796112;42339,57031;7,339639999999998;628,596191;951,55072;225,220963;3,3096120000000004;46,67792100000001;F11;SC3;Vi;0;SLAM-HSC;24h;P+ILs;TT23;F11_TT23;F11Vi24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_F12 HSC SC3_CF0.csv;151479,2188;113325,5156;33616,14453;1080,990967;137,916962;-12,594522;61,533749;146,105698;180,220551;1076,162598;263,703735;4,465847;72,539055;F12;SC3;CF;0;SLAM-HSC;24h;P+ILs;TT23;F12_TT23;F12CF24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_F12 HSC SC3_CV0.csv;100567,0391;56807,65234;25178,42383;1788,722046;45,640648;93,500648;10272,42871;33,2714;67,821663;-35,68751500000001;104,394524;5,948678;205,361176;F12;SC3;CV;0;SLAM-HSC;24h;P+ILs;TT23;F12_TT23;F12CV24hSLAM-HSCTT23;CD16/32- ckit-;Violet;9
export_F12 HSC SC3_VC1.csv;130631,625;95092,73438;6874,644531;1230,907959;60,591873;101,370171;17241,74414;53,175945;789,6083980000002;77,870003;360,7075200000001;5,709061;3,541209;F12;SC3;VC;1;SLAM-HSC;24h;P+ILs;TT23;F12_TT23;F12VC24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_F2 MPP SC2_VC0.csv;128851,1484;91267,78906;9583,444336;94,355652;500,88107300000013;109,254654;26650,16211;-28,408613;646,596069;1699,809082;352,820709;5,944803;5528289,0;F2;SC2;VC;0;MPP;24h;P;TT23;F2_TT23;F2VC24hMPPTT23;MPP;Limegreen;3
export_F3 ST-HSC SC2_CF0.csv;132694,8594;82364,89844;27434,79688;230,788635;146,121735;206,461914;45,127884;99,448608;1210,334106;396,240875;414,605194;4,308222;77,92333199999999;F3;SC2;CF;0;ST-HSC;24h;P;TT23;F3_TT23;F3CF24hST-HSCTT23;ST-HSC;#deff19;2
export_F3 ST-HSC SC2_CV1.csv.1;107279,4375;47494,75781;16034,63379;120,732574;245,004349;438,139557;7469,380859000001;137,448639;745,435425;131,158752;354,1953430000001;5,7122519999999986;43,811192;F3;SC2;CV;1;ST-HSC;24h;P;TT23;F3_TT23;F3CV24hST-HSCTT23;GMP;aqua;5
