Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_B4 ST-HSC SC2_VC0.csv;91224,54688;64823,96094;7870,351563;90,310928;120,52021;294,067474;27372,10742;104,962982;648,2453;86,670563;272,185791;5,892535;111,92881;B4;SC2;VC;0;ST-HSC;24h
export_B4 ST-HSC SC2_Vi1.csv.1;114070,0625;77362,6875;1,326614;45,465122;156,446793;51,397995;26223,54883;171,147202;475,075226;191,934799;277,312073;3,21128;185,707306;B4;SC2;Vi;1;ST-HSC;24h
export_B4 ST-HSC SC2_Vi1.csv.2;106032,8906;77444,83594;3,333123;41,544643;318,929535;140,586899;28591,62109;65,432625;323,668854;211,251343;436,574463;3,520748;192,495728;B4;SC2;Vi;1;ST-HSC;24h
export_B5 HSC SC2_CV0.csv;91731,8125;82820,9375;22153,17188;4815,098633;98,352089;185,399231;11748,2959;228,388916;-6,793406;358,923157;423,331604;5,950594;93,726837;B5;SC2;CV;0;HSC;24h
export_B5 HSC SC2_VC0.csv;122479,0781;78600,08594;7877,523926;1182,285767;78,258705;321,59903;35053,50781;51,341656;53,694687;1375,465332;573,590027;5,968774;2,344419;B5;SC2;VC;0;HSC;24h
export_B6 HSC SC2_CV0.csv;99048,28906;64889,44531;23344,02734;6001,733887;364,575439;417,317322;12469,19434;97,593224;3,02808;3406,091064;448,153931;5,984962;111,987335;B6;SC2;CV;0;HSC;24h
export_B6 HSC SC2_VC1.csv;91923,73438;63554,76172;5222,071289;3347,784668;92,078407;222,921753;22538,24414;204,7966;16,954485;577,405029;273,546661;5,706891;188,245499;B6;SC2;VC;1;HSC;24h
export_B7 MPP SC3_CF1.csv;157232;92250,59375;17825,51563;230,891937;1155,491333;351,553162;137,169922;362,311707;2788,294434;511,672394;286,335693;4,517211;54,990677;B7;SC3;CF;1;MPP;24h
export_B7 MPP SC3_VC0.csv;168027,5469;146568,2969;7414,62793;635,273743;717,847717;1081,739624;28563,04297;256,503174;1903,138916;1124,924561;286,347961;5,887296;58,230228;B7;SC3;VC;0;MPP;24h
export_B7 MPP SC3_Vi0.csv;142134,7031;94870,80469;1,650855;267,448669;2208,346924;339,037628;50502,375;185,383774;1070,026123;1022,049316;369,400482;3,479687;68,330048;B7;SC3;Vi;0;MPP;24h
export_B8 MPP SC3_CV0.csv;150407,8281;101835,4688;18928,69141;261,872955;807,734009;489,295502;13853,68555;151,698456;1548,521362;562,221924;254,097565;5,95291;63,535744;B8;SC3;CV;0;MPP;24h
export_B8 MPP SC3_Vi1.csv.1;113143,7813;76768,46094;3,870658;669,856384;426,498596;345,099213;30301,54688;42,896904;435,948425;1933,83728;267,0448;3,584501;69,166946;B8;SC3;Vi;1;MPP;24h
export_B8 MPP SC3_Vi1.csv.2;132469,7344;65881,46875;1,089236;166,955444;636,389526;511,336182;35602,20313;241,235077;576,310486;1198,133179;221,2798;3,244629;71,502533;B8;SC3;Vi;1;MPP;24h
export_B9 ST-HSC SC3_CV0.csv;167010,5313;78339,65625;37755,6875;158,236908;232,288559;339,400299;25530,60156;472,237122;2400,842041;678,559448;262,740906;6,352678;147,592957;B9;SC3;CV;0;ST-HSC;24h
export_B9 ST-HSC SC3_VC1.csv;149128,875;92390,85938;5319,734375;96,493942;107,164772;297,372864;22135,77539;309,782166;2481,366943;116,254898;282,533783;5,707048;50,197308;B9;SC3;VC;1;ST-HSC;24h
export_B9 ST-HSC SC3_Vi0.csv;77481,46875;52055,37109;4,190024;64,738731;85,172478;153,260681;65205,02344;180,166626;459,73645;86,426346;166,684265;3,844184;30,532358;B9;SC3;Vi;0;ST-HSC;24h
export_C1 MPP SC2_VC0.csv;140490,75;115389,2578;8326,668945;161,923553;801,775513;325,550629;25852,67773;187,346786;1125,221558;24,47044;869,960205;5,892304;163,37207;C1;SC2;VC;0;MPP;24h
export_C1 MPP SC2_Vi1.csv;115189,4531;56362,23828;25,204165;46,976768;817,23877;297,07962;31898,74414;-8,382307;364,842865;481,844849;628,638611;4,17564;198,579849;C1;SC2;Vi;1;MPP;24h
