FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family
149515;80329,76563;101421,3281;594,7813110000002;2290,718506;-30,67622;967,791504;80156,45313;1262,85437;23,155441;CF;D1;SC2;MPP;24h;P;TT23;D1_TT23;D1CF24hMPPTT23
153735;95877,11719;100947,7031;4002,942139;3653,9104;-26,619543;501,791534;17429,36914;2454,74292;23,461298;CF;E1;SC2;MPP;24h;P;TT23;E1_TT23;E1CF24hMPPTT23
135642;91916,79688;116978,1953;2441,827881;2131,254639;-27,623198;-607,799438;58079,38672;2599,632324;23,737463;CF;E2;SC2;MPP;24h;P;TT23;E2_TT23;E2CF24hMPPTT23
132807;69240,15625;116003,5859;5632,23584;5432,480957;24,041576;-824,475586;5018,9057619999985;137,073288;23,966246;CF;E3;SC2;ST-HSC;24h;P;TT23;E3_TT23;E3CF24hST-HSCTT23
146020;94011,19531;141470,7813;3057,507324;1840,061401;-28,661678;1333,818848;15298,5752;108,90633400000002;24,271975;CF;E4;SC2;ST-HSC;24h;P;TT23;E4_TT23;E4CF24hST-HSCTT23
135158;143769,8594;118717,9766;5204,6572270000015;4518,098145;-48,966942;11596,15723;964,260132;611,5527950000002;24,656332;CF;E5;SC2;SLAM-HSC;24h;P;TT23;E5_TT23;E5CF24hSLAM-HSCTT23
171774;105096,0469;116090,4531;913,240356;8616,869141;-5,098332;3226,716064;4574,209473;-3,5316050000000003;25,024294;CF;E6;SC2;SLAM-HSC;24h;P;TT23;E6_TT23;E6CF24hSLAM-HSCTT23
156876;111818,3516;141355,3438;9479,854492;3589,029053;-5,431911;-933,102966;9445,980469;2164,907227;25,462486;CF;E7;SC3;MPP;24h;P+ILs;TT23;E7_TT23;E7CF24hMPPTT23
127581;70763,35156;96013,96094;1842,050293;2720,956055;6,211976;264,920715;11281,96973;2955,807129;25,804626000000006;CF;E8;SC3;MPP;24h;P+ILs;TT23;E8_TT23;E8CF24hMPPTT23
148657;90763,6875;115524,0156;1343,851685;5356,846191;-2,362328;-275,98877000000005;10283,35938;129,269882;26,067493;CF;E9;SC3;ST-HSC;24h;P+ILs;TT23;E9_TT23;E9CF24hST-HSCTT23
143118;113128,5469;96266,24219;3104,87085;3048,377686;-14,110213;1176,092041;45901,6875;651,2794190000002;26,500654;CF;E10;SC3;ST-HSC;24h;P+ILs;TT23;E10_TT23;E10CF24hST-HSCTT23
230077;127103,9063;134460,4844;7179,491211;4682,759765999999;-27,592073;10397,23731;838,493286;121,49416399999998;27,060081;CF;E11;SC3;SLAM-HSC;24h;P+ILs;TT23;E11_TT23;E11CF24hSLAM-HSCTT23
154684;79872,80469;92304,73438;797,2303469999998;4877,671875;20,33243;3468,218994;38901,01953;561,0;27,353031;CF;E12;SC3;SLAM-HSC;24h;P+ILs;TT23;E12_TT23;E12CF24hSLAM-HSCTT23
153545;98208,32813;122242,7578;469,779816;9984,27832;-34,846188;16085,78125;3837,402832;19,795521;27,763597;CF;F12;SC3;SLAM-HSC;24h;P+ILs;TT23;F12_TT23;F12CF24hSLAM-HSCTT23
130393;59797,50391;85048,11719;248,827423;4320,3598630000015;3,826668;3553,626953;16348,7959;101,740814;28,156992;CF;F11;SC3;SLAM-HSC;24h;P+ILs;TT23;F11_TT23;F11CF24hSLAM-HSCTT23
141704;70545,58594;77945,0;4856,028809;4840,243652;-9,681791;-531,308777;1904,899048;148,360641;28,450586;CF;F10;SC3;ST-HSC;24h;P+ILs;TT23;F10_TT23;F10CF24hST-HSCTT23
122657;65051,35156;81404,33594;2806,875;6446,372559;13,262498999999998;204,727692;3961,227295;578,655884;28,847857;CF;F9;SC3;ST-HSC;24h;P+ILs;TT23;F9_TT23;F9CF24hST-HSCTT23
157102;98940,17188;126787,3672;3950,64502;5943,882324;-22,630209;770,043152;15233,09961;2220,71875;29,089804;CF;F8;SC3;MPP;24h;P+ILs;TT23;F8_TT23;F8CF24hMPPTT23
191607;124985,7031;146314,0781;7164,327637;5310,1245119999985;-40,4482;1050,0842289999996;4942,0629880000015;2811,544922;29,433495;CF;F7;SC3;MPP;24h;P+ILs;TT23;F7_TT23;F7CF24hMPPTT23
152125;90301,96094;98430,85156;1280,946655;6739,762695;-39,298817;18555,39648;7895,522948999998;-129,701065;29,677509000000004;CF;F6;SC2;SLAM-HSC;24h;P;TT23;F6_TT23;F6CF24hSLAM-HSCTT23
137416;62513,08203;89285,70313;2615,773193;3554,084229;-57,15295;9701,068359;664,9968259999998;167,24707;30,040434;CF;F5;SC2;SLAM-HSC;24h;P;TT23;F5_TT23;F5CF24hSLAM-HSCTT23
154019;106443,125;110098,8047;1415,75415;4183,848633;-10,422699;-518,494995;13927,85645;190,760025;30,311436;CF;F4;SC2;ST-HSC;24h;P;TT23;F4_TT23;F4CF24hST-HSCTT23
144217;77452,34375;113778,2891;5657,555664;2457,112305;-31,743202;217,92395;8580,342773;311,636536;30,598314;CF;F3;SC2;ST-HSC;24h;P;TT23;F3_TT23;F3CF24hST-HSCTT23
164380;138007,875;135411,2969;2326,643066;7717,71875;-16,213993;1163,409424;2909,381348;1184,969727;30,882999;CF;F2;SC2;MPP;24h;P;TT23;F2_TT23;F2CF24hMPPTT23
137546;99430,45313;106907,2266;458,226624;2222,110352;-26,04443;336,018646;39812,75781;2636,310059;31,151806;CF;F1;SC2;MPP;24h;P;TT23;F1_TT23;F1CF24hMPPTT23
136248;70628,88281;87426,92188;2483,794189;4525,6884770000015;3,325126;1058,625;13174,99316;662,444214;31,418285;CF;G1;SC2;MPP;24h;P;TT23;G1_TT23;G1CF24hMPPTT23
178298;216294,4063;110948,4688;4812,723145;8303,651367;-25,252371;1988,204346;3108,634521;1047,3127439999996;31,735764;CF;G2;SC2;MPP;24h;P;TT23;G2_TT23;G2CF24hMPPTT23
139475;80370,22656;120944,4688;5064,741211;4570,813965;-0,8130149999999999;983,065247;939,363586;240,31121800000003;32,080101;CF;G3;SC2;ST-HSC;24h;P;TT23;G3_TT23;G3CF24hST-HSCTT23
132430;76524,14063;79785,9375;676,916565;3463,980469;-38,793865;659,167114;67657,22656;549,35907;32,338318;CF;G4;SC2;ST-HSC;24h;P;TT23;G4_TT23;G4CF24hST-HSCTT23
138620;70766,92188;84619,71094;2469,056885;6223,597656;-23,262667;10996,16602;1173,5740970000004;-13,428024;32,614998;CF;G5;SC2;SLAM-HSC;24h;P;TT23;G5_TT23;G5CF24hSLAM-HSCTT23
143551;98320,1875;70762,16406;1098,734741;3658,675537;-25,402487;14145,80957;567,913574;423,14679;33,032021;CF;G6;SC2;SLAM-HSC;24h;P;TT23;G6_TT23;G6CF24hSLAM-HSCTT23
144243;77407,125;110755,6875;5759,319824;4375,394531;-25,833509;-676,465881;15666,49512;716,448975;33,322514;CF;G7;SC3;MPP;24h;P+ILs;TT23;G7_TT23;G7CF24hMPPTT23
142803;79878,75;91219,45313;2477,569824;2130,955078;-33,031136;514,897156;9357,453125;3696,730469;33,667107;CF;G8;SC3;MPP;24h;P+ILs;TT23;G8_TT23;G8CF24hMPPTT23
138344;73177,86719;96282,90625;2753,357178;7111,623535;-28,852039;-757,154053;2253,587402;42,131638;34,079094;CF;G9;SC3;ST-HSC;24h;P+ILs;TT23;G9_TT23;G9CF24hST-HSCTT23
