Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Original_cell;Culture_time
export_H1 bulk ckit+ SC4_CF0.csv.39;158563,625;101037,5156;12416,47852;26,875628;100,456978;182,654114;108,589745;130,660675;1262,196899;600,747925;677,057861;4,334414;32,719036;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.40;122639,2031;67687,5;16185,84863;1196,397705;175,516983;158,808075;22,579691;120,099686;7,846166;2612,544189;616,5802;3,933532;33,606056;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.41;170920,7969;104944,1484;11984,67969;93,044121;120,553238;82,363922;69,898293;118,304115;485,589966;94,207306;689,254517;4,188259;33,665661;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.42;147742,3594;92483,53125;11257,57813;50,566799;101,043419;876,005493;45,180042;32,953243;865,371704;76,935661;754,380554;4,035028;33,765556;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.43;151844,2969;94089,24219;11606,39844;658,525146;95,269409;53,19191;39,113083;142,818314;70,709671;0,388688;427,518677;4,000117;33,988564;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.44;164661,4688;98077,53906;10518,06641;30,360933;94,381897;3385,304688;44,436485;99,82682;1171,999634;56,858204;561,959229;4,009066;34,85371;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.45;163954,2813;76053,57813;13460,00781;40,004055;171,366455;211,335022;100,760925;200,169327;825,827148;255,160248;487,682281;4,336217;35,000126;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.46;143986,8906;94941,17969;17964,06445;124,833305;193,073044;278,16507;89,565887;101,642593;931,313721;252,200378;412,516998;4,388691;37,542244;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.47;146278,5469;99678,82031;10543,71875;283,983612;141,480392;26,583817;70,772194;147,692032;291,068359;-16,630749;721,482666;4,152737;38,501263;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.48;153054,1563;98459,75;14149,00293;845,541138;69,343651;257,146027;67,651855;91,225304;691,291687;99,754402;382,684082;4,229209;38,656433;SC4;CF;0;ckit+;24h
