Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_C12 HSC SC5_Vi1.csv.1;178408,3594;131780,375;0,558044;1080,789185;101,920746;151,899231;32929,82422;138,754593;870,922668;100,269272;175,412827;3,015286;138,824814;C12;SC5;Vi;1;HSC;24h
export_C12 HSC SC5_Vi1.csv.2;168636,2656;89254,47656;1,149728;867,907227;111,866753;415,10257;35320,27734;172,141068;810,597961;84,983215;160,072556;3,258786;195,712967;C12;SC5;Vi;1;HSC;24h
export_C2 MPP SC4_CF0.csv;167871,9375;108892,4141;12874,75293;94,13179;206,260956;457,303223;96,667686;48,994236;1574,332764;243,807465;824,741272;4,30983;132,062653;C2;SC4;CF;0;MPP;24h
export_C2 MPP SC4_CV1.csv;104914,1484;69073,94531;9013,087891;81,598076;120,340744;169,127441;12209,91113;47,588463;332,992706;159,109512;244,402115;5,68626;56,61702;C2;SC4;CV;1;MPP;24h
export_C2 MPP SC4_VC0.csv;123713,7891;52720,86719;6078,998535;94,118683;276,005707;565,17627;36917,15625;83,638512;616,398132;125,842911;344,048065;5,905091;189,538956;C2;SC4;VC;0;MPP;24h
export_C3 ST-HSC SC4_CF0.csv;107013,8359;44783,64063;15909,37695;98,377716;63,593258;416,596069;38,015419;109,458237;633,024414;131,782211;390,40097;4,088218;85,685959;C3;SC4;CF;0;ST-HSC;24h
export_C3 ST-HSC SC4_CV1.csv;115199,1797;74556,92969;13057,97754;515,588196;274,677002;314,194824;13218,52734;144,319412;699,530884;421,43985;619,833496;5,82448;61,609776;C3;SC4;CV;1;ST-HSC;24h
export_C3 ST-HSC SC4_VC1.csv.1;123243,5938;61330,91797;4188,743164;55,591736;105,194305;92,186401;26650,4707;58,456284;206,74295;178,228088;285,994965;5,690646;13,816819;C3;SC4;VC;1;ST-HSC;24h
export_C3 ST-HSC SC4_VC1.csv.2;94985,75;49830,08984;3749,119873;225,150162;102,493347;91,881531;23032,30664;34,978867;222,285767;113,444031;293,91333;5,611788;67,187553;C3;SC4;VC;1;ST-HSC;24h
export_C3 ST-HSC SC4_Vi1.csv.1;143016,5469;68221,79688;1,717297;153,417831;160,945099;223,406281;23857,32227;89,678818;1351,072266;266,501678;400,384277;3,261507;62,06889;C3;SC4;Vi;1;ST-HSC;24h
export_C3 ST-HSC SC4_Vi1.csv.2;137035,6719;64766,02734;4,938148;125,978752;148,456436;304,155212;26545,40234;100,40789;1447,120361;282,09491;486,676849;3,618657;167,024704;C3;SC4;Vi;1;ST-HSC;24h
export_C4 ST-HSC SC4_CF0.csv;130298,1563;70869,39844;13039,78027;208,202728;131,192108;120,471291;32,259464;63,52042;32,744686;1196,897095;448,430084;3,976717;95,964104;C4;SC4;CF;0;ST-HSC;24h
export_C4 ST-HSC SC4_VC0.csv;179149,3125;84295,11719;4934,381836;517,995789;85,034142;228,678818;33268,80859;132,981903;1454,223389;64,148087;311,366913;5,809073;173,78656;C4;SC4;VC;0;ST-HSC;24h
export_C5 HSC SC4_CF0.csv;127214,6875;87325,84375;10927,40723;508,185181;113,830147;290,063293;31,736807;37,123974;803,222473;23,271681;293,897552;3,917428;124,193932;C5;SC4;CF;0;HSC;24h
export_C5 HSC SC4_CV0.csv;120418,0469;61886,66797;14717,12988;4371,558594;158,799835;262,743378;18069,45703;-23,072794;-133,560959;3505,371582;208,401535;5,957211;22,721863;C5;SC4;CV;0;HSC;24h
export_C5 HSC SC4_VC1.csv.1;120002,0938;65049,625;3928,563232;914,822693;74,475136;205,967789;25255,49414;133,672607;113,576431;420,659302;361,714539;5,654443;36,08049;C5;SC4;VC;1;HSC;24h
export_C5 HSC SC4_VC1.csv.2;93104,46094;58538,05859;3470,521484;802,853149;92,50264;216,551117;21365,26367;138,333481;116,81456;346,441711;299,821533;5,565003;130,534286;C5;SC4;VC;1;HSC;24h
export_C6 HSC SC4_Vi1.csv.1;145936,0156;102935,3203;1,730155;525,754028;104,336319;151,246948;32713,30469;128,440689;161,133789;362,363373;268,543488;3,360744;10,727535;C6;SC4;Vi;1;HSC;24h
export_C6 HSC SC4_Vi1.csv.2;163589,0156;98429,51563;1,445925;1213,494507;90,608635;98,317665;40023,75391;87,429832;98,27607;92,840469;241,892136;3,36757;167,636719;C6;SC4;Vi;1;HSC;24h
export_C7 MPP SC5_CF0.csv;132846,5938;103343,5625;14255,67285;99,551025;336,218658;1764,692749;124,675049;249,144867;1487,047729;163,889053;560,76947;4,419253;23,950773;C7;SC5;CF;0;MPP;24h
export_C7 MPP SC5_CV0.csv;104715,9766;113143,3672;15502,44141;52,969612;198,417953;3695,297852;15897,30762;203,856506;1921,778198;369,712128;589,204163;5,933845;171,300186;C7;SC5;CV;0;MPP;24h
export_C7 MPP SC5_VC0.csv;163216,8594;99682,17188;6747,292969;32,152016;159,097534;264,52298;32422,20508;-15,205709;814,418396;3206,206543;225,685333;5,897251;29,848793;C7;SC5;VC;0;MPP;24h
export_C7 MPP SC5_Vi1.csv.1;139964,6719;103130,3672;1,374176;-39,333698;203,612076;224,271805;28827,51172;65,915703;1726,89978;1452,507813;266,30188;3,251171;123,406021;C7;SC5;Vi;1;MPP;24h
export_C7 MPP SC5_Vi1.csv.2;134815,5313;70374,9375;1,147966;122,381081;194,628494;230,224533;24987,71875;51,491394;1051,363525;1293,2229;186,190872;3,152039;174,413849;C7;SC5;Vi;1;MPP;24h
