FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
150348;75868,45313;100715,6563;1008,785034;4533,14209;-36,355709;13512,21094;21415,03516;-60,337002;10,675759;CF;E11;SC3;HSC;24h
141519;65276,26172;73584,84375;781,966553;4454,484375;-71,071266;45839,79297;2787,865234;-293,343689;10,795806;CF;E12;SC3;HSC;24h
165906;116972,2422;82701,4375;-223,888824;1573,026489;-33,208721;23536,32031;22488,32227;159,896622;10,965214;CF;F12;SC3;HSC;24h
115857;76627,67188;83266,6875;53,262459;8246,288086;-30,775459;7380,816406;4313,449219;245,856644;11,124309;CF;F11;SC3;HSC;24h
158499;73810,94531;111768,375;2489,529297;2908,652588;-21,215881;11,414537;960,444824;612,960388;11,26439;CF;F10;SC3;ST-HSC;24h
138430;74348,82031;92204,77344;644,964783;5215,124023;-15,649426;1832,712402;7768,175293;101,628922;11,410916;CF;F9;SC3;ST-HSC;24h
176867;106703,7344;129392,2734;2489,866455;6306,035156;20,914646;235,493851;983,687561;1202,425781;11,547775;CF;F8;SC3;MPP;24h
161049;94796,59375;137412,875;3857,084229;5379,51709;-37,73568;371,121124;13105,71875;14238,58887;11,695375;CF;F7;SC3;MPP;24h
151978;89019,14063;111007,9688;-6,054381;4774,933105;-58,650684;29653,46289;19469,0625;169,605865;11,860648;CF;F6;SC2;HSC;24h
180497;96511,38281;84985,04688;1728,154907;7187,005859;-21,393015;4581,301758;8635,348633;138,845032;11,983058;CF;F5;SC2;HSC;24h
110572;93639,91406;86319,03125;1134,718628;5427,106934;-11,672154;42,932396;2720,029541;358,654083;12,124212;CF;F4;SC2;ST-HSC;24h
141774;74234,58594;79099,30469;1343,544678;5767,988281;-4,37233;1507,042847;2745,872803;30,712645;12,240284;CF;F3;SC2;ST-HSC;24h
143374;74085,83594;91654,99219;6185,658203;2869,858643;-4,871253;621,825439;6763,787109;2925,416016;12,360976;CF;F2;SC2;MPP;24h
168967;110711,6563;124435,9297;3498,946533;3739,435303;-5,185868;-886,136292;1013,377075;1627,807983;12,481183;CF;F1;SC2;MPP;24h
143670;138079,2813;129830,1953;4999,239258;3147,353271;-25,664715;15,470287;25691,73828;808,509644;12,586835;CF;G1;SC2;MPP;24h
150356;72981,51563;81902,94531;1987,447998;5055,620117;-28,554565;-1096,611084;1062,363037;854,765869;12,727937;CF;G2;SC2;MPP;24h
153664;77931,91406;79077,88281;1027,35376;5207,366211;-15,773303;1649,558472;1240,026489;337,057251;12,838154;CF;G3;SC2;ST-HSC;24h
148166;61950,21484;93476,88281;1256,938477;4161,775391;-28,791597;2367,48291;16733,4043;-88,925087;12,959006;CF;G4;SC2;ST-HSC;24h
130033;76432,51563;86579,64063;224,215393;7505,975586;-12,596164;3325,397705;4359,136719;70,180992;13,075078;CF;G5;SC2;HSC;24h
136942;97020,70313;101435,6016;5384,293457;6108,515625;4,06465;3548,685303;584,855591;303,135529;13,205276;CF;G6;SC2;HSC;24h
151163;116022,625;120424,4375;3294,328125;5673,702148;-24,161514;-280,737732;5052,82666;738,779907;13,339932;CF;G7;SC3;MPP;24h
133228;58463,51172;81567,36719;839,863464;2511,503906;-2,180597;620,515747;4856,696289;971,914307;13,47287;CF;G8;SC3;MPP;24h
129875;82060,02344;70826,42188;135,079514;4728,333008;28,179146;1836,213135;22407,71289;89,500969;13,576212;CF;G9;SC3;ST-HSC;24h
151131;79909,69531;108218,6016;-213,274155;8266,481445;16,890079;1524,280273;1574,587769;-35,890354;13,725853;CF;G10;SC3;ST-HSC;24h
146798;86584,40625;90566,14063;-31,892078;5697,132813;-67,902122;36752,99609;6109,535645;-191,380493;13,876515;CF;G11;SC3;HSC;24h
144572;91084,98438;72073,54688;-246,584854;1919,331665;-25,699472;16443,22461;31199,7793;255,696808;14,079923;CF;G12;SC3;HSC;24h
147434;110221,375;79204,02344;-237,972153;3763,565918;-34,092724;10336,45313;18598,61719;250,956238;14,278443;CF;H12;SC3;HSC;24h
167100;92734,32813;101082,1719;971,368347;3547,12915;18,484201;8759,272461;4827,131836;66,868484;14,453008;CF;H11;SC3;HSC;24h
141574;72024,75;90791,05469;617,130188;5494,533203;2,742353;281,694855;3471,777832;208,526474;14,562902;CF;H10;SC3;ST-HSC;24h
128898;66844,67969;130399,0156;4443,90625;4029,492432;-20,352057;-1045,087158;3712,25293;479,525909;14,705777;CF;H9;SC3;ST-HSC;24h
184832;108532,7656;141519,5625;5993,137207;8588,84668;-18,562271;2451,491455;6831,973633;638,401855;14,832644;CF;H8;SC3;MPP;24h
137766;62272,70313;84211,54688;2296,033203;5793,708008;-44,10553;9192,194336;2379,284912;19,429783;14,959405;CF;H6;SC2;HSC;24h
145735;65635,64063;87863,65625;1619,094604;5804,162109;-22,114931;5627,617188;645,114624;84,591965;15,091859;CF;H5;SC2;HSC;24h
131981;94988,1875;106817,9766;28,348743;4614,935547;-2,453755;145,915787;5935,209473;445,141296;15,205514;CF;H4;SC2;ST-HSC;24h
132826;71394,05469;69330,59375;1261,940918;3596,753662;-16,642382;496,14856;7959,643066;404,805237;15,31326;CF;H3;SC2;ST-HSC;24h
152501;95311,86719;93046,10156;7671,230957;8728,621094;-31,773668;438,906586;4261,709961;7002,377441;15,406289;CF;H2;SC2;MPP;24h
167819;100975,0781;120623,1641;10898,63672;4082,842529;8096,344727;-665,329407;6474,618164;3291,337402;174,16214;CV;A1;SC2;MPP;24h
160268;74747,47656;84792,26563;19001,10547;5612,251465;9025,887695;-1043,262207;605,996338;1819,399048;174,97435;CV;A2;SC2;MPP;24h
139993;90813,66406;45453,24219;672,039307;3862,814697;13107,0957;1665,261108;41717,62891;226,788284;176,257492;CV;A3;SC2;ST-HSC;24h
160279;80106,04688;82527,69531;223,845734;5687,081543;8623,664063;-17,795029;6978,999512;264,913849;177,672195;CV;A4;SC2;ST-HSC;24h
163497;88853,73438;77402,36719;599,327454;3091,357422;7823,959473;22688,66797;24324,55859;-187,553528;178,640335;CV;A5;SC2;HSC;24h
167016;92915,20313;120520,8281;18502,58789;8169,746094;14101,44043;13823,17383;683,548523;134,935013;179,895981;CV;A6;SC2;HSC;24h
160016;64663,41406;75870,83594;3044,971924;2309,26001;7619,495605;-266,988831;7775,366699;1947,416748;181,328751;CV;A7;SC3;MPP;24h
142890;61755,05469;70442,05469;1782,378784;2230,007813;8072,72168;-104,871391;739,867615;2055,064453;182,226578;CV;A8;SC3;MPP;24h
135499;83367,83594;67362,33594;520,188965;6767,680664;8100,513184;831,453979;2113,706299;62,68774;183,361649;CV;A9;SC3;ST-HSC;24h
145734;101645,0469;118115,8359;-64,281937;5334,954102;9065,316406;739,470215;2456,859619;284,534851;184,343933;CV;A10;SC3;ST-HSC;24h
154580;68192,95313;94315,83594;219,715836;1719,098145;7456,409668;6910,797852;26026,00586;-355,066833;185,409485;CV;A11;SC3;HSC;24h
116914;118578,7422;110179,7266;-344,902832;9087,285156;10350,50586;7327,62793;4251,488281;382,722412;187,581818;CV;A12;SC3;HSC;24h
169744;93600,64063;112376,4688;15523,80273;3224,187988;11801,38184;7462,631836;769,137085;44,85463;188,871628;CV;B12;SC3;HSC;24h
156757;70077,91406;89580,82813;72,411476;2982,095947;7079,560547;22328,98828;16149,6416;-105,282227;189,845261;CV;B11;SC3;HSC;24h
125811;85714,51563;80801;1955,320313;4203,927734;9713,890625;-483,628021;2688,934082;325,637848;191,009781;CV;B10;SC3;ST-HSC;24h
145813;85774,01563;97927,48438;14583,56738;7179,4375;10374,39844;135,751755;1853,942627;290,167877;192,341629;CV;B9;SC3;ST-HSC;24h
149913;141818,25;99459,01563;2078,269287;6512,402344;15021,79102;-246,408737;9560,254883;2617,753906;193,297592;CV;B8;SC3;MPP;24h
138491;73889,48438;77466,625;2328,413818;2786,82373;7508,521973;-436,965363;2245,813965;864,820862;194,549301;CV;B7;SC3;MPP;24h
