Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CF1.csv.5;98899,17188;49610,00781;18221,10352;497,759277;35,533424;19,933935;25,238419;97,386902;552,439026;103,486206;502,094452;4,004089;61,99992;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.6;126401,5313;85621,98438;16652,24609;0,899337;74,798424;2134,547119;60,125759;29,933619;494,35675;5,110045;413,015625;4,243018;71,5849;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.7;107229,4922;68711,70313;14792,53906;45,909431;74,947472;2287,348389;51,753635;287,914612;524,415649;4,893166;561,478699;4,160604;87,813812;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.8;95689,70313;50613,34766;16499,31445;34,915634;387,017853;127,555588;51,769711;77,634499;686,305603;339,811646;332,297882;4,194233;96,427185;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.9;90470,19531;53345,35547;17211,71484;175,267426;414,368622;152,138809;59,012878;87,773819;785,229431;464,737732;364,756317;4,247428;112,531456;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.10;120079,3047;64811,51953;16952,66406;-6,364057;42,012093;3327,458252;42,753819;-26,060228;169,102997;-36,576534;19,583136;4,143796;118,958847;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.11;166283,5469;101238,625;17820,82227;39,724072;58,204567;2955,252441;74,185608;170,333282;201,376221;-54,924393;149,000229;4,328375;123,272896;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.12;133300,5;66462,61719;18056,24414;29,928463;32,72488;2834,0625;78,550079;454,274506;135,484589;-9,777682;141,923706;4,349961;125,735512;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.13;103147,7188;56583,42188;11338,2334;74,334396;80,243118;104,441818;62,980751;90,236221;1274,010376;206,533737;338,706451;4,139229;146,927811;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.14;156673,7344;113724,1797;15151,19043;8,938223;45,62299;4045,749023;79,9673;448,011993;216,254501;-48,029881;140,114197;4,301585;167,687851;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CV0.csv.1;127637,9375;120024,7031;29519,00391;49,819813;53,145889;6322,220215;9867,092773;142,285492;457,276062;143,26503;356,358063;5,985157;5,421982;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.2;142594,1406;83507,65625;29652,76758;233,83429;43,207428;21,938969;11073,45703;236,977219;599,061401;36,759552;532,966675;6,021968;5,83375;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.3;96304,30469;79677,25781;21487,03516;75,168762;393,099243;85,674805;9163,001953;101,379608;934,100769;289,56897;473,069122;5,864895;8,04001;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.4;138426,2813;90524,15625;26141,68359;86,599571;132,800095;50,53373;11180,26172;102,039116;584,616089;81,350731;411,634338;5,986214;11,294057;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.5;133921,7344;108791,7578;24405,21289;1857,684082;28,169712;72,46785;9632,639648;34,132519;98,12326;388,513458;297,285461;5,919352;19,800634;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.6;121371,3906;95728,99219;22009,23828;172,114624;605,814819;162,827072;12527,38965;-4,891282;1311,341431;280,458862;438,281921;5,96831;21,233089;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.7;93420,00781;55631,51172;25499,33789;88,857338;1170,719849;98,167465;9719,77832;56,171638;381,920776;227,699371;203,500565;5,935585;25,537645;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.8;110228,0938;61305,31641;31049,01563;1046,215454;21,922525;-6,05179;14560,07813;108,457977;42,881557;192,58255;443,033539;6,120159;26,517576;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.9;132372,9844;96489,1875;28266,64844;71,820465;1080,282349;204,504227;12077,89453;36,881683;919,290405;209,246796;778,186462;6,03393;26,959166;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.10;87978,44531;75258,08594;23139,95703;1054,628906;44,408951;13,733298;9666,4375;111,401703;680,588013;-0,385475;247,617859;5,904079;27,09548;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.11;89790,15625;81448,1875;22030,58594;48,05267;31,811197;4307,743652;8837,766602;74,315498;125,100456;-48,188057;67,623116;5,861469;44,49229;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.12;123273,1875;74734,61719;23385,00977;63,908024;112,429741;3965,15918;9205,62793;198,301285;595,458557;5,414241;133,811172;5,892314;48,141083;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.13;141743,0469;115074,0469;31880,86523;1134,418213;60,136215;79,901703;13801,03516;33,598389;216,695175;286,458649;461,0495;6,111836;48,324654;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.14;160718,3125;118601,9844;30205,69531;138,565552;188,788223;39,85788;13254,07617;102,446785;1001,303345;267,645203;535,12384;6,082842;69,579597;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.15;78398,07813;44639,17969;21863,0293;241,911118;832,557617;147,226501;8735,178711;17,169451;166,502472;511,932343;197,554581;5,855539;74,649452;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.16;154275,0156;121745,4297;26669,45898;75,730667;52,342842;3565,086914;11499,12988;121,246071;105,05233;-30,009634;222,994751;6,000988;82,126419;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.17;182610,7656;128976,8906;24262,32227;13,509743;24,602966;1106,197632;8988,193359;233,097046;1263,379395;171,939026;697,582092;5,896284;85,971352;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.18;85042,58594;56122,36719;20441,61914;31,643179;903,944214;211,41507;9748,44043;9,334482;443,588806;190,510529;327,079926;5,868598;88,457382;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.19;130233,5469;114017,8125;30287,56055;513,689209;25,267595;23,186653;11712,81836;7,001896;292,446655;938,338501;541,096191;6,045711;96,649406;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.20;159324,6094;100785,2266;39191,47266;56,61644;37,734631;2026,224609;14257,87988;64,433296;96,31076;2,555408;38,935654;6,185237;102,28624;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.21;123788,4922;70226,63281;22585,13672;422,318634;133,856918;83,318787;8655,378906;-23,54285;28,99762;2031,795898;371,791901;5,862699;103,605423;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.22;134899,7031;92115,99219;28882,08203;1343,800781;16,033018;154,654282;16101,41895;104,904846;149,352325;-0,794838;72,763367;6,128843;106,81974;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.23;123935,7891;111702,7578;27230,8125;444,30719;78,337425;-18,240274;10715,8125;60,233368;204,991608;7,882309;313,010223;5,98572;118,34449;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.24;115337,8281;94118,21875;32813,90625;93,567467;891,204346;148,737854;13155,91211;21,431576;505,508789;100,652901;737,120361;6,105994;131,389359;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.25;131632,9375;124888,3906;30449,38672;17,175417;71,05648;2483,645508;14402,93848;160,919815;223,228256;-32,861607;119,36113;6,110838;141,956451;SC2;CV;0;24h
export_H1 bulk ckit+ SC2_CV0.csv.26;118929,3047;115300,25;24426,56445;25,554899;737,175903;52,855156;10629,12012;38,949577;1145,083374;135,488281;672,244751;5,949851;142,911682;SC2;CV;0;24h
